ALL UNIVERSITIES,,,,,,
(As on Date:  12-2-2026  15:20:32),,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1186,AMITY UNIVERSITY,Punjab,S.A.S Nagar,www.amity.edu/mohali,2021,Rural
U-0757,"AMITY UNIVERSITY, CHHATTISGARH",Chhattisgarh,Raipur,www.amity.edu/raipur,2014,Rural
U-0604,"Amity University, Gwalior",Madhya Pradesh,Gwalior,www.amity.edu/gwalior,2010,Urban
U-0155,"Amity University Haryana, Gurgaon",Haryana,Gurugram,www.amity.edu/gurgaon,2010,Rural
U-0875,"AMITY UNIVERSITY,JHARKHAND",Jharkhand,Ranchi,www.amity.edu/ranchi,2016,Urban
U-0995,AMITY UNIVERSITY MUMBAI,Maharashtra,Raigad,www.amity.edu,2014,Rural
U-0964,AMITY UNIVERSITY PATNA,Bihar,Patna,https://amity.edu/Bihar/,2017,Urban
U-0388,"Amity University Rajasthan, Jaipur",Rajasthan,Jaipur,www.amity.edu/jaipur,2007,Rural
U-0497,"Amity University, Uttar Pradesh",Uttar Pradesh,Gautam Buddha Nagar,http://auup.amity.edu,2005,Urban
U-1347,Amrapali University,Uttarakhand,Nainital,amrapali.ac.in,-,Rural
U-0436,"Amrita Vishwa Vidyapeetham, Coimbatore",Tamil Nadu,Coimbatore,www.amrita.edu,1994,Rural
U-0123,"Anand Agricultural University, Anand",Gujarat,Anand,www.aau.in,2004,Urban
U-0830,ANANT NATIONAL UNIVERSITY,Gujarat,Ahmedabad,http://www.anu.edu.in,2016,Rural
U-1282,ANDHRA KESARI UNIVERSITY,Andhra Pradesh,Prakasam,https://akuprakasam.ac.in/,-,Urban
U-1240,ANDHRA PRADESH FISHERIES UNIVERSITY,Andhra Pradesh,West Godavari,www.apfu.ap.gov.in,-,Rural
U-0006,"Andhra University, Visakhapatnam",Andhra Pradesh,Visakhapatnam,www.andhrauniversity.edu.in,1926,Urban
U-1264,Anjaneya University,Chhattisgarh,Raipur,https://anjaneyauniversity.ac.in,-,Rural
U-1389,Annamacharya University,Andhra Pradesh,Annamayya,www.annamacharyauniversity.edu.in,-,Rural
U-0443,"Annamalai University, Annamalainagar",Tamil Nadu,Cuddalore,www.annamalaiuniversity.ac.in,1928,Rural
U-0439,"Anna University, Chennai",Tamil Nadu,Chennai,www.annauniv.edu,1978,Urban
U-1188,ANURAG UNIVERSITY,Telangana,MEDCHAL MALKAJGIRI,www.anurag.edu.in,2020,Rural
U-0156,"Apeejay  Stya University, Sohna",Haryana,Gurugram,www.university.apeejay.edu,2010,Rural
U-0712,APEX PROFESSIONAL UNIVERSITY,Arunachal Pradesh,East Siang,www.apexuniversity.edu.in,2012,Urban
U-1038,APEX UNIVERSITY,Rajasthan,Jaipur,www.apexuniversity.co.in,2018,Rural
U-0697,A P GOYAL SHIMLA UNIVERSITY,Himachal Pradesh,Shimla,www.agu.ebu.in,2012,Rural
U-0786,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY,Kerala,Thiruvananthapuram,www.ktu.edu.in,2014,Urban
U-0920,"ARKA JAIN University, Jharkhand",Jharkhand,Saraikela Kharsawan,www.arkajainuniversity.ac.in,2017,Rural
U-0176,"Arni University, Katgarh (Indora), Kangra",Himachal Pradesh,Kangra,www.arniuniversity.edu.in,2009,Rural
U-1261,ARUNACHAL PRADESH UNIVERSITY,Arunachal Pradesh,East Siang,apupsg.ac.in,-,Urban
U-0740,ARUNACHAL UNIVERSITY OF STUDIES,Arunachal Pradesh,Lohit,www.arunachaluniversity.ac.in,2012,Rural
U-0947,Arunodaya University,Arunachal Pradesh,Papum Pare,www.arunodayauniversity.ac.in,2014,Urban
U-0057,"Aryabhatta Knoweledge University , Patna",Bihar,Patna,www.akubihar.ac.in,2010,Urban
U-1277,ARYAVART INTERNATIONAL UNIVERSITY,Tripura,North Tripura,www.aiuniversity.edu.in,-,Rural
U-1352,Aryavart University,Madhya Pradesh,Sehore,www.auindia.ac.in,-,Rural
U-1110,ASBM UNIVERSITY,Odisha,Khordha,www.asbm.ac.in,2019,Rural
U-0744,ASHOKA UNIVERSITY,Haryana,Sonipat,www.ashoka.edu.in,2014,Urban
U-1235,ASIAN INTERNATIONAL UNIVERSITY,Manipur,Imphal West,www.aiu.edu.in,-,Urban
U-0048,"Assam Agricultural University, Jorhat",Assam,Jorhat,www.aau.ac.in,1968,Rural
U-0049,"Assam Don Bosco University, Guwahati",Assam,Kamrup,www.dbuniversity.ac.in,2008,Urban
U-0683,ASSAM DOWN TOWN UNIVERSITY,Assam,Kamrup Metro,www.adtu.in,2010,Rural
U-0673,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY,Assam,Kamrup Metro,www.astu.ac.in,2010,Urban
U-1372,"Assam Skill University, Assam",Assam,Darrang,www.asu.ac.in,-,Urban
U-0050,"Assam University, Silchar",Assam,Cachar,http://www.aus.ac.in,1994,Rural
U-0815,ASSAM WOMENS UNIVERSITY,Assam,Jorhat,www.awu.ac.in,2014,Rural
U-0651,ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA,Madhya Pradesh,Bhopal,www.abvhv.edu.in,2011,Urban
U-0267,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh,Gwalior,www.iiitm.ac.in,1997,Urban
U-1205,ATAL BIHARI VAJPAYEE MEDICAL UNIVERSITY,Uttar Pradesh,Lucknow,www.abvmuup.edu.in,2018,Urban
U-0636,ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA,Chhattisgarh,Bilaspur,http://www.bilaspuruniversity.ac.in,2012,Rural
U-1136,ATAL MEDICAL AND RESEARCH UNIVERSITY,Himachal Pradesh,Mandi,www.amruhp.ac.in,2017,Rural
U-1406,Atharva University,Maharashtra,Mumbai Suburban,atharvauniversity.org,-,Urban
U-1145,ATLAS SKILLTECH UNIVERSITY,Maharashtra,Mumbai,https://atlasuniversity.edu.in/,2021,Urban
U-0967,ATMIYA UNIVERSITY,Gujarat,Rajkot,www.atmiyauni.ac.in,2018,Urban
U-1328,Atria University,Karnataka,Bengaluru Urban,https://www.atriauniversity.edu.in/,-,Urban
U-1424,Audisankara University,Andhra Pradesh,Tirupati,,-,Rural
U-1345,Auniati University,Assam,Jorhat,https://auniv.ac.in/,-,Rural
U-1324,Aurora Higher Education and Research Academy,Telangana,MEDCHAL MALKAJGIRI,https://aurora.edu.in,-,Urban
U-0794,AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT,Gujarat,Surat,www.aurouniversity.edu.in,2011,Urban
U-0959,AVANTIKA UNIVERSITY,Madhya Pradesh,Ujjain,www.avantikauniversity.edu.in,2017,Rural
U-0444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore",Tamil Nadu,Coimbatore,www.avinuty.ac.in,1957,Urban
U-0268,"Awadesh Pratap Singh University, Rewa",Madhya Pradesh,Rewa,www.apsurewa.ac.in,1968,Urban
U-1285,AZIM PREMJI UNIVERSITY,Madhya Pradesh,Bhopal,https://azimpremjiuniversity.edu.in/bhopal,-,Rural
U-0601,"Azim Premji University, Bangalore",Karnataka,Bengaluru Urban,https://azimpremjiuniversity.edu.in/,2010,Urban
U-0371,"Baba Farid University of Health Sciences, Faridkot",Punjab,Faridkot,www.bfuhs.ac.in,1998,Rural
U-0191,"Baba Ghulam Shah Badshah University,  Jammu",Jammu and Kashmir,Rajouri,www.bgsbu.ac.in,2002,Rural
U-0666,BABA MASTNATH UNIVERSITY,Haryana,Rohtak,www.bmu.ac.in,2012,Rural
U-0766,Baba Saheb Ambedkar Education University,West Bengal,Kolkata,www.bsaeu.in,2015,Urban
U-0058,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",Bihar,Muzaffarpur,brabu.net,1952,Urban
U-0498,"Babasaheb Bhimrao Ambedkar University, Lucknow",Uttar Pradesh,Lucknow,https://www.bbau.ac.in/ ,1994,Urban
U-0499,"Babu Banarsi Das University, Lucknow",Uttar Pradesh,Lucknow,www.bbdu.ac.in,2010,Urban
U-1295,BABU DINESH SINGH UNIVERSITY,Jharkhand,Garhwa,https://bdsu.ac.in,-,Rural
U-0177,"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan",Himachal Pradesh,Solan,www.baddiuniv.ac.in,2002,Rural
U-1254,BAGALKOT UNIVERSITY,Karnataka,Bagalkote,bgku.ac.in,-,Urban
U-0597,"Bahra University, Solan",Himachal Pradesh,Solan,www.bahrauniversity.edu.in,2010,Rural
U-0500,"Banaras Hindu University, Banaras",Uttar Pradesh,Varanasi,www.bhu.ac.in,1916,Urban
U-0389,Banasthali Vidyapith,Rajasthan,Tonk,www.banasthali.org,1935,Rural
U-0707,"BANDA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, BANDA",Uttar Pradesh,Banda,www.buat.edu.in,2010,Urban
U-0215,"Bangalore University, Bangalore",Karnataka,Bengaluru Urban,https://bangaloreuniversity.karnataka.gov.in/,1964,Urban
U-0772,"BANKURA UNIVERSITY, BANKURA",West Bengal,Bankura,www.bankurauniv.ac.in,2014,Rural
U-0897,"Bareilly International University, Bareilly",Uttar Pradesh,Bareilly,www.biu.edu.in,2016,Urban
U-0269,"Barkatullah University, Bhopal",Madhya Pradesh,Bhopal,www.bubhopal.ac.in,1970,Urban
U-0956,BENGALURU CITY UNIVERSITY,Karnataka,Bengaluru Urban,www.bcu.ac.in,2015,Urban
U-1090,BENGALURU DR.B.R.AMBEDKAR SCHOOL OF ECONOMICS UNIVERSITY,Karnataka,Bengaluru Urban,www.base.ac.in,2017,Urban
U-0972,BENGALURU NORTH UNIVERSITY,Karnataka,Kolar,https://bnu.karnataka.gov.in,2017,Rural
U-0890,"Bennett University, Greater Noida",Uttar Pradesh,Gautam Buddha Nagar,www.bennett.edu.in,2016,Urban
U-0350,"Berhampur University, Berhampur",Odisha,Ganjam,www.buodisha.edu.in,1967,Rural
U-0943,"Bhabha University, Bhopal",Madhya Pradesh,Bhopal,www.bhabhauniversity.edu.in,2018,Urban
U-0157,"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat",Haryana,Sonipat,www.bpsmv.ac.in,1936,Rural
U-1074,BHAGWAN MAHAVIR UNIVERSITY,Gujarat,Surat,www.bmusurat.ac.in,2004,Urban
U-0929,Bhagwant Global University,Uttarakhand,Pauri Garhwal,www.bgukotdwar.ac.in,2016,Rural
U-0390,"Bhagwant University,  Ajmer",Rajasthan,Ajmer,www.bhagwantuniversity.com,2008,Rural
U-1065,BHAIKAKA UNIVERSITY,Gujarat,Anand,http://www.bhaikakauniv.edu.in/,2019,Rural
U-0783,BHAKTA KAVI NARSINH MEHTA UNIVERSITY,Gujarat,Junagadh,www.bknmu.edu.in,2015,Rural
U-0447,"Bharathiar University, Coimbatore",Tamil Nadu,Coimbatore,http://www.b-u.ac.in,1982,Urban
U-0448,"Bharathidasan University, Tiruchirappalli",Tamil Nadu,Tiruchirappalli,www.bdu.ac.in,1982,Rural
U-0446,Bharath Institute of Higher Education & Research,Tamil Nadu,Chengalpattu,www.bharathuniv.ac.in,1984,Rural
U-0292,"Bharati Vidyapeeth, Pune",Maharashtra,Pune,www.bvuniversity.edu.in,1964,Urban
U-1132,BHARATIYA ENGINEERING SCIENCE AND TECHNOLOGY INNOVATION UNIVERSITY,Andhra Pradesh,Ananthapuramu,www.bestiu.edu.in,2018,Rural
U-1185,BHARTI VISHWAVIDYALAYA,Chhattisgarh,Durg,www.bhartiuniversity.org,2021,Rural
U-0949,Bhartiya Skill Development Univesity,Rajasthan,Jaipur,www.ruj-bsdu.in,2016,Rural
U-0501,Bhatkhande Sanskriti Vishwavidyalaya,Uttar Pradesh,Lucknow,www.bhatkhandeuniversity.ac.in,1926,Urban
U-1043,"BHATTADEV UNIVERSITY, BAJALI",Assam,Barpeta,www.bhattadevuniversity.ac.in,1955,Urban
U-0836,BHUPAL NOBLES' UNIVERSITY,Rajasthan,Udaipur,www.bnuniversity.ac.in,2015,Urban
U-0059,"Bhupendra Narayan Mandal University, Madhepura",Bihar,Madhepura,www.bnmu.ac.in,1992,Urban
U-1311,Bidar University,Karnataka,Bidar,,-,Rural
U-0568,"Bidhan Chandra Krishi Vishwavidyalaya , Nadia",West Bengal,Nadia,www.bckv.edu.in,1960,Rural
U-0060,"Bihar Agricultural University, Sabour",Bihar,Bhagalpur,www.bausabour.ac.in,2010,Rural
U-0997,BIHAR ANIMAL SCIENCES UNIVERSITY,Bihar,Patna,www.basu.org.in,2016,Urban
U-1291,BIHAR ENGINEERING UNIVERSITY,Bihar,Patna,www.beu-biha.ac.in,-,Urban
U-1401,Bihar Sports University,Bihar,Nalanda,,-,Rural
U-1321,Bihar University of Health Sciences,Bihar,Patna,https://buhs.ac.in,-,Urban
U-0351,"Biju Patnaik University of Technology, Rourkela",Odisha,Sundargarh,www.bput.ac.in,2002,Urban
U-0991,BIKANER TECHNICAL UNIVERSITY,Rajasthan,Bikaner,www.btu.ac.in,2018,Urban
U-0978,BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY,Jharkhand,Dhanbad,https://bbmku.ac.in,2017,Urban
U-1247,BIRANGANA SATI SADHANI RAJYIK VISHWAVIDYALAYA,Assam,Golaghat,www.bssrv.ac.in,-,Rural
U-1020,BIRLA GLOBAL UNIVERSITY,Odisha,Khordha,www.bgu.ac.in,2013,Urban
U-0202,"Birla Institute of Technology, Ranchi",Jharkhand,Ranchi,www.bitmesra.ac.in,1955,Rural
U-0391,"Birla Institute of Technology & Sciences, Pilani",Rajasthan,Jhunjhunu,www.bits-pilani.ac.in,1964,Rural
U-0203,"Birsa Agricultural University, Ranchi",Jharkhand,Ranchi,http://www.bauranchi.org,1955,Rural
U-0966,BIRSA MUNDA TRIBAL UNIVERSITY,Gujarat,Narmada,http://bmtu.ac.in/,2017,Urban
U-1083,BIR TIKENDRAJIT UNIVERSITY,Manipur,Thoubal,www.birtikendrajituniversity.ac.in,2020,Rural
U-1250,BISWA BANGLA BISWABIDYALAY,West Bengal,Birbhum,www.bbb.ac.in,-,Rural
U-0214,BLDE (Deemed to be University),Karnataka,Vijayapura,www.bldedu.ac.in,1986,Urban
U-0735,BML MUNJAL UNIVERSITY,Haryana,Gurugram,www.bmu.edu.in,2014,Rural
U-0674,BODOLAND UNIVERSITY,Assam,Kokrajhar,"buniv.edu.in						",2009,Rural
U-0846,BRAINWARE UNIVERSITY,West Bengal,Kolkata,www.brainwareuniversity.ac.in,2016,Urban
U-0445,B.S. Abdur Rahman Crescent Institute of Science & Technology,Tamil Nadu,Chengalpattu,www.crescent.education,1984,Urban
U-0502,"Bundelkhand University,  Jhansi",Uttar Pradesh,Jhansi,www.bujhansi.ac.in,1975,Urban
U-1435,Capital University,Sikkim,Soreng,,-,Rural
U-1060,CAPITAL UNIVERSITY,Jharkhand,Koderma,www.capitaluniversity.edu.in,2018,Rural
U-1408,Captain Williamson Sangma State University,Meghalaya,South West Garo Hills,,-,Rural
U-0925,Career Point University,Rajasthan,Kota,www.cpur.in,2012,Rural
U-0694,"CAREER POINT UNIVERSITY, HAMIRPUR",Himachal Pradesh,Hamirpur,www.cpuh.in,2012,Rural
U-0336,"Central Agricultural University, Imphal",Manipur,Imphal West,www.cau.ac.in,1993,Urban
U-1025,CENTRAL INSTITUTE OF BUDDHIST STUDIES,Ladakh,Leh Ladakh,www.cibs.ac.in,1959,Urban
U-0293,"Central Institute of Fisheries Education, Fishries University, Mumbai",Maharashtra,Mumbai,http://www.cife.edu.in,1961,Urban
U-0503,"Central Institute of Higher Tibetan Studies, Varanasi",Uttar Pradesh,Varanasi,https://cihts.ac.in,1967,Urban
U-1067,"CENTRAL INSTITUTE OF TECHNOLOGY, KOKRAJHAR",Assam,Kokrajhar,www.cit.ac.in,2006,Rural
U-0115,Central Sanskrit University,Delhi,West,www.sanskrit.nic.in/,1970,Urban
U-1226,Central Tribal University,Andhra Pradesh,Vizianagaram,www.ctuap.ac.in,2019,Rural
U-0252,"Central Univeristy of Kerala, Kasaragod",Kerala,Kasaragod,www.cukerala.ac.in,2009,Rural
U-0976,Central University of Andhra Pradesh,Andhra Pradesh,Ananthapuramu,https://cuap.ac.in,2018,Rural
U-0126,Central University of Gujarat,Gujarat,Vadodara,www.cug.ac.in,2009,Rural
U-0158,"Central University of Haryana, Mahendergarh",Haryana,Mahendragarh,www.cuh.ac.in,2009,Rural
U-0178,"Central University of Himachal Pradesh, Dharmshala, Kangra",Himachal Pradesh,Kangra,www.cuhimachal.ac.in,2009,Rural
U-0631,Central University of Jammu,Jammu and Kashmir,Samba,http://www.cujammu.ac.in,2011,Rural
U-0204,"Central University of Jharkhand, Ranchi",Jharkhand,Ranchi,www.cuj.ac.in,2009,Rural
U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Kalaburagi,www.cuk.ac.in,2009,Rural
U-0193,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,www.cukashmir.ac.in,2009,Rural
U-0352,"Central University of Orissa, Koraput",Odisha,Koraput,www.cuo.ac.in,2009,Rural
U-0372,"Central University of Punjab, Bathhinda",Punjab,Bathinda,www.cup.edu.in,2009,Rural
U-0392,"Central University of Rajasthan, Jaipur",Rajasthan,Ajmer,www.curaj.ac.in,2009,Rural
U-0062,Central University of South Bihar,Bihar,Gaya,www.cusb.ac.in,2009,Rural
U-0449,"Central University of Tamil Nadu, Tiruvarur",Tamil Nadu,Thiruvarur,www.cutn.ac.in,2009,Rural
U-0353,Centurion University of Technology and Management,Odisha,Gajapati,www.cutm.ac.in,2010,Rural
U-0957,CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,Andhra Pradesh,Vizianagaram,www.cutmap.ac.in,2017,Rural
U-0127,CEPT UNIVERSITY,Gujarat,Ahmedabad,www.cept.ac.in,1962,Urban
U-1432,C G C University,Punjab,S.A.S Nagar,,-,Rural
U-1088,CHAITANYA (DEEMED TO BE UNIVERSITY),Telangana,Ranga Reddy,www.chaitanya.edu.in,1991,Rural
U-1290,CHAMARAJANAGARA UNIVERSITY,Karnataka,Chamarajanagar,https://cuc.karnataka.gov.in/kn,-,Rural
U-0063,"Chanakya National Law University, Patna",Bihar,Patna,www.cnlu.ac.in,2006,Urban
U-1202,CHANAKYA UNIVERSITY,Karnataka,Bengaluru Rural,www.chanakyauniversity.edu.in,-,Rural
U-1382,Chandigarh University,Uttar Pradesh,Unnao,https://www.culko.in/,-,Rural
U-0747,CHANDIGARH UNIVERSITY,Punjab,S.A.S Nagar,www.cuchd.in,2012,Rural
U-0504,"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur",Uttar Pradesh,Kanpur Nagar,www.csauk.ac.in,1906,Urban
U-0128,"Charotar University of Science & Technology,  Anand",Gujarat,Anand,www.charusat.ac.in,2000,Rural
U-0505,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur",Uttar Pradesh,Kanpur Nagar,www.csjmu.ac.in,1966,Urban
U-0788,CHAUDHARY BANSI LAL UNIVERSITY,Haryana,Bhiwani,www.cblu.ac.in,2014,Urban
U-0159,"Chaudhary Charan Singh Haryana Agricultural University, Hisar",Haryana,Hisar,www.hau.ac.in,1970,Urban
U-0506,"Chaudhary Charan Singh University, Meerut",Uttar Pradesh,Meerut,www.ccsuniversity.ac.in,1965,Urban
U-0738,"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND",Haryana,Jind,www.crsu.ac.in,2014,Urban
U-0179,"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur",Himachal Pradesh,Kangra,http://www.hillagric.ac.in,1966,Rural
U-0160,"Ch. Devi Lal University, Sirsa",Haryana,Sirsa,www.cdlu.ac.in,2003,Urban
U-0450,"Chennai Mathematical  Institute, Chennai",Tamil Nadu,Chengalpattu,https://www.cmi.ac.in,1985,Rural
U-0451,"Chettinad Academy of Research & Education, Kancheepuram",Tamil Nadu,Chengalpattu,www.care.edu.in ,2008,Rural
U-0987,CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY,Maharashtra,Raigad,www.csmu.ac.in,2018,Rural
U-0083,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Chhattisgarh,Durg,csvtu.ac.in,2005,Urban
U-0594,: CHILDREN'S RESEARCH UNIVERSITY,Gujarat,Gandhinagar,www.cugujarat.ac.in,2009,Urban
U-0903,Chinmaya Vishwavidyapeeth,Kerala,Ernakulam,www.cvv.ac.in,2017,Rural
U-1256,CHIRAYU UNIVERSITY,Madhya Pradesh,Bhopal,www.chirayuuniversity.ac.in,-,Urban
U-0180,"Chitkara University, Kalu Jhanda (Barotiwala), Solan",Himachal Pradesh,Solan,www.chitkarauniversity.edu.in,2008,Rural
U-0373,"Chitkara University, Patiala",Punjab,Patiala,www.chitkara.edu.in,2010,Rural
U-0217,"Christ University, Bangalore",Karnataka,Bengaluru Urban,www.christuniversity.in,1969,Urban
U-1189,CLUSTER UNIVERSITY,Andhra Pradesh,Kurnool,www.cuklap.ac.in,2020,Urban
U-0926,Cluster University of Jammu,Jammu and Kashmir,Jammu,www.clujammu.in,2016,Urban
U-0909,Cluster University Srinagar,Jammu and Kashmir,Srinagar,http://cusrinagar.edu.in,2017,Urban
U-0942,CMJ University,Meghalaya,Ri Bhoi,www.cmjumeghalaya.edu.in,2009,Rural
U-0723,"CMR UNIVERSITY, BANGALORE",Karnataka,Bengaluru Urban,www.cmr.edu.in,2013,Urban
U-0253,"Cochin University of Science & Technology, Kochi",Kerala,Ernakulam,www.cusat.ac.in,1971,Urban
