Aishe Code,Name,State,Website
C-48650,shree dhanvantary college of engineering and technology,Gujarat,https://www.sdcet.org.in
C-25080,"shree digamber institute of technology,mitrapura,dausa",Rajasthan,https://www.sditdausa.in
C-46313,"shree l r tiwari college of engineering, thane",Maharashtra,https://www.slrtce.in
C-36976,shreenivasa engineering college,Tamil Nadu,https://www.shreenivasa.info
C-68868,shree parekh engineering college,Gujarat,https://www.specmahuva.in
C-35984,"shree sai institute of technology,  jaora road, ratlam 45700",Madhya Pradesh,https://ssitrtm.org
C-58643,"shree santkrupa institute of engineering and technology, (b. tech.) ",Maharashtra,https://www.sietghogaon.org
C-45302,"shree sathyam college of engineering and technology, salem",Tamil Nadu,https://www.shreesathyam.edu.in
C-61653,shree siddheshwar womens college of engineering solapur,Maharashtra,https://www.sswcoe.edu.in
C-73533,shree swaminarayan gadi institute of technology    ,Gujarat,https://ssgu.org.in
C-50209,shree swaminarayan institute of technology,Gujarat,https://www.ssit.co.in
C-228,shree swaminarayan institute of technology(sfi)-gandhinagar 533,Gujarat,https://www.ssit.co.in
C-37087,shree venkateshwara hi-tech engineering college,Tamil Nadu,https://www.svhec.com
C-53606,shree vinayaka institute of technology,Karnataka,https://www.svgi.edu.in
C-34296,"shreeyash pratishthan's shreeyash college of engineering and technology , satara tanda, aurangabad.",Maharashtra,https://www.sycet.org
C-76368,"shri amolak jain vidya prasarak mandal, amolak college of engineering kada",Maharashtra,https://www.amolakcoe.org
C-73459,"shri anandrao abitkar college of engineering,pal    ",Maharashtra,https://www.abitkarcollegeofengineering.com
C-1279,"shridevi institute of engineering and technology, tumkur",Karnataka,https://www.shrideviengineering.org
C-75262,shri gajanan maharaj shikshan prasarak mandal dnyanvilas college of engineering,Maharashtra,https://www.dvcoe.com
C-41824,"shri gajanan maharaj shikshan prasarak mandals sharadchandra pawar college of engineering , at. dumberwadi, post. khamundi, tal. junnar, dist.pune 412409",Maharashtra,https://www.spcoe.in
C-36143,"shri g. s. institute of technology & science, 23,park road, indore - 452003",Madhya Pradesh,https://www.sgsits.ac.in
C-48668,shri j m sabva institute of engineering and technology 698,Gujarat,https://www.aradhanaedu.in
C-45047,"shri j m sabva institute of engineering & technology, botad 107",Gujarat,https://www.aradhanaedu.in
C-10838,shri krishan institute of engineering & technology,Haryana,https://www.skiet.org
C-48515,shri labhubhai trivedi institute of engineering and technology - 954,Gujarat,https://www.sltiet.edu.in
C-162,"shri labhubhai trivedi institute of engineering and technology, rajkot 089",Gujarat,https://www.sltiet.edu.in
C-25276,"shrinathji institute of technology & engineering, upali oden, nathdwara, rajsamand",Rajasthan,https://www.shrinathjiinstitute.com
C-41699,"shri neminath jain brahmacharyashramas college of engineering, neminagar, chandwad, dist.nashik 423101",Maharashtra,https://www.snjb.org
C-62957,"shri phanishwar nath renu engineering college, araria",Bihar,https://spnrecararia.ac.in/
C-74276,shriram institute of engineering and technology poly paniv,Maharashtra,https://www.sietpaniv.org
C-35992,"shri ram institute of technology,  iti, madhotal, jabalpur-482002",Madhya Pradesh,https://www.sritgroup.net
C-36307,"shri ram institute of technology (mca), near iti, madhotal, jabalpur-482002",Madhya Pradesh,http://www.sritgroup.net
C-48360,shri ram murti smarak college of engineering & technology,Uttar Pradesh,https://www.srms.ac.in/cet
C-50830,shri rawatpura sarkar institute of technology and science,Madhya Pradesh,https://www.sridatia.in
C-18892,shri sai college of engineering and technology bhadrawati,Maharashtra,https://www.sscet.in
C-42835,"shri sant gajanan maharaj engineering college, shegaon.",Maharashtra,https://ssgmce.ac.in
C-22541,shri shankar bhagwan institute of technology,Uttar Pradesh,https://www.ssbit.org.in
C-18839,"shri shankarprasad agnihotri college of engineering, sindi (meghe), wardha",Maharashtra,https://www.sspace.ac.in
C-47916,"shri siddhi vinayak institute of technology, nainital road, bareilly",Uttar Pradesh,https://www.ssvgi.org
C-41260,"shri someshwar shikshan prasarak mandal, sharadchandra pawar  college of engineering and technology, someshwarnagar,taluka- baramati, district- pune- 412306",Maharashtra,https://www.secsomeshwar.ac.in
C-34286,"shri tuljabhavani temple trust's tuljabhavani college of engineering, tuljapur.",Maharashtra,https://www.stbcet.org.in
C-73549,"shri vile parle kelavani mandals college of engineering, shirpur    ",Maharashtra,https://svkmcoe.ac.in
C-58821,"shri vile parle kelvani mandals institute of technology, dhule",Maharashtra,https://www.svkm-iot.ac.in
C-17962,"shri vishnu engineering college for women, vishnupur, kovvada village, bhimavaram, pin-534202(cc-b0)",Andhra Pradesh,https://www.svecw.edu.in
C-36200,"shri yogindra sagar institute of technology & science, dharad gram, mhow neemach road, ratlam",Madhya Pradesh,https://www.sysits.org
C-1297,"siddaganga institute of technology, tumkur",Karnataka,http://sit.ac.in
C-19939,siddhartha institute of engineering & technology,Telangana,https://www.siddhartha.ac.in
C-65166,siddhartha institute of technology and sciences,Telangana,https://-
C-19915,siddhartha institute of technology & science,Telangana,https://www.siddharatha.co.in
C-25977,siddhartha institute of technology & science (formerly siddharatha technical institute),Telangana,https://www.siddhartha.co.in
C-26859,"siddharth institute of engineering & technology, puttur",Andhra Pradesh,https://www.sietk.org
C-8627,sikkim manipal institute of technology (smit),Sikkim,https://smu.edu.in/smit.html/
C-6216,siliguri institute of technology 119,West Bengal,https://www.sittechno.org
C-6191,siliguri institute of technology 334,West Bengal,https://www.technoindiagroup.com
C-6297,siliguri institute of technology (hmct) 335,West Bengal,https://www.sittechno.org
C-6225,siliguri institute of technology (mca) 336,West Bengal,https://www.sittechno.org
C-406,silver oak college of engineering  & technology,Gujarat,https://www.silveroakuni.ac.in
C-33526,"sindhudurg shikshan prasarak mandal's college of engineering, kankavli",Maharashtra,https://www.sspmcoe.ac.in
C-25191,"sine international institute of technology,jaipur",Rajasthan,https://www.siitjaipur.org
C-43142,"sipna college of engineering and technology, amravati ",Maharashtra,https://www.sipnaengg.ac.in
C-26920,"sir c.v. raman institute of technology & sciences, tadipatri,",Andhra Pradesh,https://cvrt.in/
C-11328,"sirda institute of engineering & technology for women, naulakda troat, sunder nagar, distt mandi",Himachal Pradesh,https://www.sirda.in
C-25002,sir issac newton college of engineering and technology,Tamil Nadu,https://www.sincet.ac.in
C-1327,"sir m visvesvaraya institute of technology, bangalore",Karnataka,https://www.sirmvit.edu
C-56057,sitamarhi institute of technology,Bihar,https://www.sitsitamarhi.ac.in/
C-70726,"sitaram institute of technology,mavi,meerut",Uttar Pradesh,https://www.srit.institute
C-49122,sityog institute of technology,Bihar,https://www.sityog.edu.in/
